minutes,mp,nineties,gls,ast,ga,gls_p90_raw,ast_p90_raw,ga_p90_raw,player,team,pos,age,nation,league,season,sh,sot,int,tklw,crs,fls,fld,source
90.0,1,1.0,0,0,0,0.0,0.0,0.0,Yassine Bounou,Sevilla,GK,32,ma MAR,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
2541.0,31,28.2,6,3,9,0.21,0.11,0.32,Lucas Boyé,Granada,FW,27,ar ARG,La Liga,2324,56,15,12,25,13,72,43,fbref_cache
48.0,2,0.5,0,0,0,0.0,0.0,0.0,Darko Brašanac,Osasuna,MF,31,rs SRB,La Liga,2324,0,0,0,0,1,1,0,fbref_cache
31.0,1,0.3,0,0,0,0.0,0.0,0.0,Brau,Granada,DF,21,es ESP,La Liga,2324,0,0,0,0,1,0,0,fbref_cache
630.0,7,7.0,0,0,0,0.0,0.0,0.0,Claudio Bravo,Real Betis,GK,40,cl CHI,La Liga,2324,0,0,0,0,0,0,1,fbref_cache
270.0,14,3.0,0,0,0,0.0,0.0,0.0,Ben Brereton Díaz,Villarreal,"MF,FW",24,cl CHI,La Liga,2324,5,1,0,2,4,5,4,fbref_cache
2435.0,33,27.1,17,2,19,0.63,0.07,0.7,Ante Budimir,Osasuna,FW,32,hr CRO,La Liga,2324,76,35,5,13,9,40,26,fbref_cache
117.0,4,1.3,0,0,0,0.0,0.0,0.0,Manu Bueno,Sevilla,MF,19,es ESP,La Liga,2324,1,0,0,2,0,1,2,fbref_cache
44.0,2,0.5,0,0,0,0.0,0.0,0.0,Pablo Busto,Real Betis,DF,17,es ESP,La Liga,2324,1,0,1,1,1,0,1,fbref_cache
803.0,25,8.9,0,1,1,0.0,0.11,0.11,José Callejón,Granada,"MF,FW",36,es ESP,La Liga,2324,11,3,5,5,35,12,21,fbref_cache
1817.0,31,20.2,0,2,2,0.0,0.1,0.1,Eduardo Camavinga,Real Madrid,MF,20,fr FRA,La Liga,2324,17,7,26,48,4,49,68,fbref_cache
1661.0,31,18.5,3,1,4,0.16,0.05,0.22,Sergio Camello,Rayo Vallecano,FW,22,es ESP,La Liga,2324,34,13,3,6,2,18,11,fbref_cache
171.0,8,1.9,0,0,0,0.0,0.0,0.0,José Campaña,Las Palmas,MF,30,es ESP,La Liga,2324,1,0,2,2,4,0,5,fbref_cache
2503.0,32,27.8,2,4,6,0.07,0.14,0.22,João Cancelo,Barcelona,DF,29,pt POR,La Liga,2324,31,10,33,47,82,39,26,fbref_cache
1229.0,27,13.7,1,2,3,0.07,0.15,0.22,Sergi Canós,Valencia,MF,26,es ESP,La Liga,2324,43,17,11,13,36,17,16,fbref_cache
1455.0,32,16.2,1,1,2,0.06,0.06,0.12,Étienne Capoue,Villarreal,MF,35,fr FRA,La Liga,2324,14,5,23,21,7,25,41,fbref_cache
2611.0,35,29.0,0,0,0,0.0,0.0,0.0,Isaac Carcelen,Cádiz,DF,30,es ESP,La Liga,2324,10,3,23,32,67,16,44,fbref_cache
90.0,1,1.0,0,0,0,0.0,0.0,0.0,Dani Cárdenas,Rayo Vallecano,GK,26,es ESP,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
737.0,26,8.2,4,1,5,0.49,0.12,0.61,Marc Cardona,Las Palmas,FW,28,es ESP,La Liga,2324,22,11,2,8,5,12,19,fbref_cache
2814.0,35,31.3,1,2,3,0.03,0.06,0.1,Sergi Cardona,Las Palmas,DF,24,es ESP,La Liga,2324,26,5,45,58,89,52,59,fbref_cache
1328.0,17,14.8,1,2,3,0.07,0.14,0.2,Johnny Cardoso,Real Betis,MF,21,us USA,La Liga,2324,12,3,31,30,3,21,19,fbref_cache
1313.0,30,14.6,1,1,2,0.07,0.07,0.14,Carmona,Getafe,"MF,DF",21,es ESP,La Liga,2324,12,3,22,21,29,33,23,fbref_cache
221.0,3,2.5,0,1,1,0.0,0.41,0.41,Yannick Carrasco,Atlético Madrid,"DF,MF",29,be BEL,La Liga,2324,2,1,1,4,8,2,2,fbref_cache
475.0,13,5.3,0,0,0,0.0,0.0,0.0,Álvaro Carreras,Granada,"MF,FW",20,es ESP,La Liga,2324,7,1,8,7,15,6,11,fbref_cache
2171.0,28,24.1,4,3,7,0.17,0.12,0.29,Dani Carvajal,Real Madrid,DF,31,es ESP,La Liga,2324,18,10,20,38,50,23,19,fbref_cache
680.0,22,7.6,1,3,4,0.13,0.4,0.53,William Carvalho,Real Betis,MF,31,pt POR,La Liga,2324,8,3,8,12,4,13,5,fbref_cache
15.0,2,0.2,0,0,0,0.0,0.0,0.0,Marc Casado,Barcelona,MF,19,es ESP,La Liga,2324,0,0,1,1,0,0,2,fbref_cache
2534.0,30,28.2,1,3,4,0.04,0.11,0.14,Catena,Osasuna,DF,28,es ESP,La Liga,2324,18,5,16,20,0,47,14,fbref_cache
598.0,20,6.6,0,2,2,0.0,0.3,0.3,Dani Ceballos,Real Madrid,MF,26,es ESP,La Liga,2324,7,1,0,5,8,5,19,fbref_cache
980.0,14,10.9,0,1,1,0.0,0.09,0.09,Álex Centelles,Almería,DF,25,es ESP,La Liga,2324,2,1,16,7,43,10,13,fbref_cache
546.0,17,6.1,0,1,1,0.0,0.16,0.16,Franco Cervi,Celta Vigo,"MF,DF",29,ar ARG,La Liga,2324,9,1,9,19,18,6,19,fbref_cache
1167.0,22,13.0,1,1,2,0.08,0.08,0.15,Pep Chavarría,Rayo Vallecano,"DF,MF",25,es ESP,La Liga,2324,11,2,8,16,71,8,22,fbref_cache
1979.0,30,22.0,2,2,4,0.09,0.09,0.18,Andreas Christensen,Barcelona,"DF,MF",27,dk DEN,La Liga,2324,12,4,20,15,0,26,10,fbref_cache
2434.0,31,27.0,0,1,1,0.0,0.04,0.04,Chumi,Almería,DF,24,es ESP,La Liga,2324,5,1,15,23,2,23,8,fbref_cache
1864.0,22,20.7,0,1,1,0.0,0.05,0.05,Víctor Chust,Cádiz,DF,23,es ESP,La Liga,2324,4,0,12,17,2,15,4,fbref_cache
1664.0,31,18.5,1,0,1,0.05,0.0,0.05,Pathé Ciss,Rayo Vallecano,MF,29,sn SEN,La Liga,2324,22,8,28,24,3,27,29,fbref_cache
1.0,1,0.0,0,0,0,0.0,0.0,0.0,Silvi Clúa,Girona,MF,18,es ESP,La Liga,2324,0,0,0,0,0,1,0,fbref_cache
2295.0,30,25.5,1,0,1,0.04,0.0,0.04,Saúl Coco,Las Palmas,DF,24,gq EQG,La Liga,2324,20,4,19,20,1,19,24,fbref_cache
1653.0,27,18.4,2,0,2,0.11,0.0,0.11,Santi Comesaña,Villarreal,MF,26,es ESP,La Liga,2324,17,7,22,23,5,33,22,fbref_cache
1333.0,19,14.8,1,1,2,0.07,0.07,0.14,Copete,Mallorca,DF,23,es ESP,La Liga,2324,7,1,33,26,9,36,13,fbref_cache
910.0,17,10.1,0,0,0,0.0,0.0,0.0,Francis Coquelin,Villarreal,MF,32,fr FRA,La Liga,2324,3,0,15,12,3,18,8,fbref_cache
182.0,9,2.0,1,0,1,0.49,0.0,0.49,Theo Corbeanu,Granada,MF,21,ca CAN,La Liga,2324,5,2,2,2,12,2,1,fbref_cache
17.0,2,0.2,0,0,0,0.0,0.0,0.0,Jesús Corona,Sevilla,"DF,FW",30,mx MEX,La Liga,2324,0,0,1,0,2,1,0,fbref_cache
1528.0,32,17.0,9,2,11,0.53,0.12,0.65,Ángel Correa,Atlético Madrid,"FW,MF",28,ar ARG,La Liga,2324,43,20,2,14,41,24,32,fbref_cache
2154.0,31,23.9,0,2,2,0.0,0.08,0.08,Thierry Correia,Valencia,DF,24,pt POR,La Liga,2324,5,2,31,36,47,41,41,fbref_cache
1682.0,30,18.7,0,1,1,0.0,0.05,0.05,Jaume Costa,Mallorca,"DF,MF",35,es ESP,La Liga,2324,6,2,16,21,63,25,22,fbref_cache
2303.0,34,25.6,1,1,2,0.04,0.04,0.08,Samu Costa,Mallorca,MF,22,pt POR,La Liga,2324,22,3,37,56,24,62,49,fbref_cache
332.0,4,3.7,0,0,0,0.0,0.0,0.0,Thibaut Courtois,Real Madrid,GK,31,be BEL,La Liga,2324,0,0,0,0,0,0,1,fbref_cache
2245.0,34,24.9,1,8,9,0.04,0.32,0.36,Yan Couto,Girona,"MF,DF",21,br BRA,La Liga,2324,29,11,10,33,111,34,42,fbref_cache
527.0,15,5.9,0,0,0,0.0,0.0,0.0,Crespo,Rayo Vallecano,MF,26,pt POR,La Liga,2324,3,0,11,7,3,19,22,fbref_cache
57.0,1,0.6,0,0,0,0.0,0.0,0.0,Cristian,Valencia,GK,25,es ESP,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
1667.0,26,18.5,0,1,1,0.0,0.05,0.05,Juan Cruz Armada,Osasuna,DF,31,es ESP,La Liga,2324,3,0,12,15,21,20,4,fbref_cache
76.0,5,0.8,0,0,0,0.0,0.0,0.0,Juan Cruz,Real Betis,MF,23,es ESP,La Liga,2324,2,0,0,0,0,2,2,fbref_cache
1558.0,19,17.3,0,0,0,0.0,0.0,0.0,Pau Cubarsí,Barcelona,DF,16,es ESP,La Liga,2324,3,0,11,13,1,15,2,fbref_cache
90.0,1,1.0,0,0,0,0.0,0.0,0.0,Iván Cuéllar,Mallorca,GK,39,es ESP,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
1963.0,29,21.8,3,1,4,0.14,0.05,0.18,Jorge Cuenca,Villarreal,DF,23,es ESP,La Liga,2324,20,7,20,27,13,25,12,fbref_cache
102.0,2,1.1,0,0,0,0.0,0.0,0.0,Eric Curbelo,Las Palmas,DF,29,es ESP,La Liga,2324,0,0,2,3,0,0,0,fbref_cache
28.0,1,0.3,0,0,0,0.0,0.0,0.0,Alberto Dadie,Real Sociedad,DF,21,es ESP,La Liga,2324,0,0,0,1,1,4,0,fbref_cache
2157.0,36,24.0,2,5,7,0.08,0.21,0.29,Sergi Darder,Mallorca,MF,29,es ESP,La Liga,2324,32,12,16,25,147,19,35,fbref_cache
2075.0,34,23.1,3,5,8,0.13,0.22,0.35,Rodrigo De Paul,Atlético Madrid,MF,29,ar ARG,La Liga,2324,30,12,11,21,45,26,59,fbref_cache
1073.0,14,11.9,1,0,1,0.08,0.0,0.08,Mouctar Diakhaby,Valencia,"DF,MF",26,gn GUI,La Liga,2324,7,3,11,13,0,9,2,fbref_cache
1.0,1,0.0,0,0,0,0.0,0.0,0.0,Moussa Diakité,Cádiz,MF,19,ml MLI,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
1048.0,18,11.6,2,0,2,0.17,0.0,0.17,Assane Diao,Real Betis,MF,17,sn SEN,La Liga,2324,21,3,7,12,9,12,22,fbref_cache
1545.0,31,17.2,8,6,14,0.47,0.35,0.82,Brahim Díaz,Real Madrid,"MF,FW",23,ma MAR,La Liga,2324,38,17,5,18,32,22,42,fbref_cache
162.0,4,1.8,0,0,0,0.0,0.0,0.0,Víctor Díaz,Granada,DF,35,es ESP,La Liga,2324,0,0,1,3,0,0,0,fbref_cache
89.0,8,1.0,0,1,1,0.0,1.01,1.01,Famara Diedhiou,Granada,FW,30,sn SEN,La Liga,2324,5,3,0,1,2,6,3,fbref_cache
3330.0,37,37.0,0,0,0,0.0,0.0,0.0,Stole Dimitrievski,Rayo Vallecano,GK,29,mk MKD,La Liga,2324,0,0,0,1,0,0,3,fbref_cache
2484.0,33,27.6,0,0,0,0.0,0.0,0.0,Djené,Getafe,"DF,MF",31,tg TOG,La Liga,2324,6,1,23,20,32,51,37,fbref_cache
1170.0,13,13.0,0,0,0,0.0,0.0,0.0,Marko Dmitrović,Sevilla,GK,31,rs SRB,La Liga,2324,0,0,1,1,0,0,1,fbref_cache
79.0,2,0.9,0,0,0,0.0,0.0,0.0,Jaume Doménech,Valencia,GK,32,es ESP,La Liga,2324,0,0,0,0,0,0,1,fbref_cache
1584.0,22,17.6,0,0,0,0.0,0.0,0.0,Carlos Dominguez,Celta Vigo,DF,22,es ESP,La Liga,2324,5,0,22,21,3,15,8,fbref_cache
25.0,3,0.3,0,0,0,0.0,0.0,0.0,Mario Dominguez,Valencia,MF,19,es ESP,La Liga,2324,3,1,0,0,1,0,0,fbref_cache
708.0,17,7.9,0,0,0,0.0,0.0,0.0,Carlos Dotor,Celta Vigo,MF,22,es ESP,La Liga,2324,4,0,4,7,8,13,10,fbref_cache
905.0,32,10.1,7,1,8,0.7,0.1,0.8,Anastasios Douvikas,Celta Vigo,FW,23,gr GRE,La Liga,2324,26,15,0,7,3,17,30,fbref_cache
2587.0,36,28.7,24,8,32,0.83,0.28,1.11,Artem Dovbyk,Girona,FW,26,ua UKR,La Liga,2324,85,46,0,3,1,27,13,fbref_cache
907.0,15,10.1,0,0,0,0.0,0.0,0.0,Domingos Duarte,Getafe,DF,28,pt POR,La Liga,2324,1,0,9,4,2,8,8,fbref_cache
1878.0,28,20.9,2,1,3,0.1,0.05,0.14,Rubén Duarte,Alavés,DF,27,es ESP,La Liga,2324,15,5,20,17,71,31,31,fbref_cache
2976.0,37,33.1,13,2,15,0.39,0.06,0.45,Hugo Duro,Valencia,FW,23,es ESP,La Liga,2324,66,29,6,8,7,41,95,fbref_cache
812.0,15,9.0,0,1,1,0.0,0.11,0.11,Aritz Elustondo,Real Sociedad,DF,29,es ESP,La Liga,2324,6,2,5,7,1,9,10,fbref_cache
2476.0,36,27.5,3,2,5,0.11,0.07,0.18,Adri Embarba,Almería,"MF,FW",31,es ESP,La Liga,2324,64,25,15,38,172,37,41,fbref_cache
2570.0,33,28.6,16,2,18,0.56,0.07,0.63,Youssef En-Nesyri,Sevilla,FW,26,ma MAR,La Liga,2324,73,30,8,7,5,21,21,fbref_cache
1697.0,25,18.9,1,2,3,0.05,0.11,0.16,Gonzalo Escalante,Cádiz,MF,30,ar ARG,La Liga,2324,14,3,27,23,6,31,14,fbref_cache
153.0,2,1.7,0,0,0,0.0,0.0,0.0,Aarón Escandell,Las Palmas,GK,27,es ESP,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
2507.0,31,27.9,0,1,1,0.0,0.04,0.04,Alfonso Espino,Rayo Vallecano,DF,31,uy URU,La Liga,2324,18,5,40,45,49,45,41,fbref_cache
2.0,2,0.0,0,0,0,0.0,0.0,0.0,Bernardo Espinosa,Girona,DF,34,co COL,La Liga,2324,0,0,0,1,0,0,1,fbref_cache
21.0,1,0.2,0,0,0,0.0,0.0,0.0,Karl Etta Eyong,Cádiz,FW,19,cm CMR,La Liga,2324,0,0,0,1,0,1,0,fbref_cache
865.0,26,9.6,1,0,1,0.1,0.0,0.1,Abde Ezzalzouli,Real Betis,MF,21,ma MAR,La Liga,2324,34,9,5,14,33,9,16,fbref_cache
68.0,2,0.8,0,0,0,0.0,0.0,0.0,Abde Ezzalzouli,Barcelona,"FW,MF",21,ma MAR,La Liga,2324,4,1,0,1,7,1,3,fbref_cache
407.0,22,4.5,1,0,1,0.22,0.0,0.22,Radamel Falcao,Rayo Vallecano,FW,37,co COL,La Liga,2324,17,7,3,6,1,15,10,fbref_cache
2547.0,30,28.3,0,0,0,0.0,0.0,0.0,Fali,Cádiz,DF,29,es ESP,La Liga,2324,11,3,27,25,8,23,19,fbref_cache
50.0,3,0.6,0,0,0,0.0,0.0,0.0,Ansu Fati,Barcelona,"FW,MF",20,es ESP,La Liga,2324,7,1,1,0,0,0,4,fbref_cache
1049.0,19,11.7,1,2,3,0.09,0.17,0.26,Nabil Fekir,Real Betis,"MF,FW",30,fr FRA,La Liga,2324,27,9,6,9,55,22,35,fbref_cache
360.0,4,4.0,0,0,0,0.0,0.0,0.0,Luiz Felipe,Real Betis,DF,26,it ITA,La Liga,2324,2,0,4,3,0,2,1,fbref_cache
1540.0,30,17.1,7,3,10,0.41,0.18,0.58,João Félix,Barcelona,FW,23,pt POR,La Liga,2324,61,25,11,16,18,21,54,fbref_cache
